plot_number,sqft,points
1,,"136,301 173,295 196,311 196,337 196,337 123,338"
2,,"123,338 196,338 196,375 112,376"
3,,"110,375 195,377 196,430 171,430 147,404 99,413"
4,,"227,430 259,430 258,408 227,407"
5,,"259,408 258,384 226,384 227,407"
6,,"258,383 259,361 227,360 227,384"
7,,"258,359 259,336 227,337 226,360 258,359"
8,,"258,337 258,298 227,305 226,336"
9,,"259,337 294,337 293,291 257,298"
10,,"259,338 259,360 293,360 293,338"
11,,"259,361 293,360 294,384 259,384"
12,,"259,385 293,384 293,407 259,408"
13,,"259,408 294,407 294,430 259,430"
14,,"317,429 348,430 348,407 317,408"
15,,"316,408 349,408 348,384 317,385"
16,,"318,384 350,384 349,361 317,360"
17,,"318,360 348,360 348,337 318,337"
18,,"318,337 350,338 348,313 318,314"
19,,"316,313 348,314 349,278 316,285"
20,,"348,279 383,271 384,313 348,313"
21,,"349,314 384,313 384,337 348,337"
22,,"349,337 384,338 383,361 349,361"
23,,"348,361 383,360 383,384 349,384"
24,,"349,384 384,384 383,408 348,408"
25,,"350,408 383,408 384,430 348,430"
26,,"407,408 407,431 438,430 439,408"
27,,"406,407 439,408 438,385 408,385"
28,,"408,384 438,385 438,360 408,360"
29,,"438,360 439,337 408,337 407,360"
30,,"438,337 438,314 407,313 407,337"
31,,"438,313 438,290 408,291 407,312"
32,,"438,290 439,259 408,266 407,289"
33,,"438,259 474,251 474,290 439,291"
34,,"439,290 474,291 473,313 439,314"
35,,"440,314 474,314 473,338 438,337"
36,,"439,337 473,337 473,360 439,359"
37,,"440,361 474,361 473,384 439,384"
38,,"439,384 473,385 473,407 439,407"
39,,"440,407 473,407 473,431 438,430"
40,,"497,432 528,431 528,408 496,408"
41,,"496,408 529,407 529,384 496,385"
42,,"497,384 529,384 528,360 497,360"
43,,"497,360 528,360 528,337 497,338"
44,,"498,337 529,338 529,313 529,313 497,314"
45,,"498,313 529,312 528,291 497,290"
46,,"497,289 529,290 528,266 497,267"
47,,"497,266 528,267 528,244 507,243 496,246"
48,,"519,176 562,157 563,195 525,197"
49,,"526,197 564,196 563,219 533,219"
50,,"528,244 563,244 562,266 528,265"
51,,"528,266 563,266 564,289 530,291"
52,,"530,292 563,291 563,313 530,314"
53,,"530,314 563,314 562,337 529,337"
54,,"528,337 563,337 564,360 529,361"
55,,"530,361 563,360 563,384 528,385"
56,,"530,384 563,384 564,408 530,407"
57,,"528,407 563,407 564,431 528,430"
58,,"587,446 586,408 618,407 619,437"
59,,"588,406 618,406 618,385 587,385"
60,,"587,383 618,383 619,360 588,360"
61,,"587,360 618,360 618,337 586,338"
62,,"587,337 618,337 619,314 588,314"
63,,"587,313 618,313 618,290 586,290"
64,,"586,290 619,289 618,267 588,267"
65,,"588,267 619,268 617,243 586,243"
66,,"588,219 618,220 618,197 587,195"
67,,"587,196 618,195 617,172 587,173"
68,,"587,172 619,171 619,149 587,150"
69,,"586,150 618,148 619,121 615,120 587,141"
70,,"620,121 654,117 654,149 619,150"
71,,"619,149 653,150 653,173 619,173"
72,,"619,172 653,174 652,195 618,197"
73,,"619,197 652,197 653,220 618,220"
74,,"619,244 653,244 654,266 620,265"
75,,"618,267 653,267 652,290 619,291"
76,,"620,291 654,291 653,314 618,314"
77,,"619,313 654,313 654,338 619,338"
78,,"619,338 653,336 652,360 617,360"
79,,"619,361 654,360 653,384 619,384"
80,,"619,385 653,384 654,407 620,408"
81,,"619,408 653,407 652,427 619,437"
82,,"676,399 709,400 708,361 678,362"
83,,"677,361 709,361 707,338 678,338"
84,,"678,336 708,336 709,313 677,314"
85,,"678,314 709,313 708,291 677,290"
86,,"678,290 707,290 707,290 708,266 677,265"
87,,"677,265 710,266 710,266 708,244 677,242"
88,,"676,220 724,219 708,196 678,196"
89,,"685,112 722,173 788,130 770,101"
90,,"723,174 746,210 813,171 789,131"
91,,"760,231 787,275 852,232 826,189"
92,,"788,275 809,306 873,264 853,233"
93,,"807,308 851,377 857,374 892,299 874,265"
94,,"895,298 915,258 859,168 827,188"
95,,"813,166 847,148 813,96 768,102"
96,,"847,147 914,102 903,85 814,96"
97,,"860,167 915,256 937,213 892,148"
98,,"892,145 936,211 958,169 958,169 929,126 929,126"
99,,"903,84 958,169 975,136 1016,77 938,79 906,85"
